0	17	25	44	66	75	90
0	0.0	0.261	1.0	1.0	1.0	1.0
0	0.0	0.0	0.525	0.454	0.911	0.91
0	0.0	0.0	0.147	0.45	0.924	0.887
0	0.0	0.0	0.0	0.211	0.811	0.813
0	0.0	0.0	0.403	0.489	0.057	0.08
0	0.0	0.0	0.0	0.0	1.0	1.0
0	0.0	0.0	0.273	0.781	1.0	1.0
0	0.0	0.0	0.0	0.345	0.833	0.793
0	0.0	0.0	0.0	0.0	0.269	0.34
0	0.0	0.117	0.0	0.0	0.0	0.103
0	0.0	0.0	0.108	0.151	0.0	0.0
0	0.125	0.0	0.153	0.181	0.175	0.191
0	0.0	0.0	0.0	0.258	0.057	0.075
0	0.38	0.432	0.0	0.0	0.0	0.0
0	0.0	0.066	0.104	0.062	0.0	0.0
0	0.0	0.0	0.0	0.209	0.209	0.0
0	0.0	0.0	0.0	0.0	0.266	0.312
0	0.0	0.0	0.115	0.0	0.131	0.0
0	0.0	0.0	0.188	0.171	0.232	0.244
0	0.0	0.0	0.138	0.295	0.0	0.081
0	0.0	0.0	0.114	0.0	0.11	0.123
