	0	17	25	44	66	75	90
1	0.0	0.0	0.261	1.0	1.0	1.0	1.0
7	0.0	0.0	0.0	0.273	0.781	1.0	1.0
6	0.0	0.0	0.0	0.0	0.0	1.0	1.0
14	0.0	0.38	0.432	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.403	0.489	0.057	0.08
2|3	0.0	0.0	0.0	0.336	0.452	0.9175	0.8985000000000001
8|4	0.0	0.0	0.0	0.0	0.27799999999999997	0.8220000000000001	0.8029999999999999
18|11	0.0	0.0	0.0	0.1115	0.0755	0.0655	0.0
9|17	0.0	0.0	0.0	0.0	0.0	0.2675	0.326
21|10|15	0.0	0.0	0.061	0.07266666666666667	0.020666666666666667	0.03666666666666667	0.07533333333333332
19|13|16|20|12	0.0	0.025	0.0	0.0958	0.22280000000000003	0.1346	0.1182
