Parent	Identity
genotype-0	genotype-1
genotype-1	genotype-13
genotype-13	genotype-12
genotype-13	genotype-9
genotype-9	genotype-10
genotype-0	genotype-5
genotype-1	genotype-11
genotype-10	genotype-7
genotype-1	genotype-4
genotype-13	genotype-6
genotype-0	genotype-2
genotype-1	genotype-3
genotype-1	genotype-8
