Identity	Parent
genotype-6	genotype-0
genotype-8	genotype-6
genotype-7	genotype-6
genotype-1	genotype-0
genotype-4	genotype-1
genotype-2	genotype-8
genotype-5	genotype-0
genotype-9	genotype-6
genotype-3	genotype-0
