Parent	Identity
genotype-0	genotype-13
genotype-13	genotype-4
genotype-4	genotype-9
genotype-9	genotype-2
genotype-0	genotype-7
genotype-9	genotype-14
genotype-9	genotype-15
genotype-9	genotype-3
genotype-9	genotype-1
genotype-4	genotype-10
genotype-9	genotype-11
genotype-9	genotype-6
genotype-9	genotype-5
genotype-0	genotype-8
genotype-8	genotype-12
