left	right	distance	count
3.0	2.0	3.0653793638492566	2.0
5.0	0.0	3.934354726133117	2.0
4.0	1.0	4.969510332264788	2.0
7.0	6.0	7.130574177264339	4.0
8.0	9.0	12.409617082241843	6.0
