	candidate	identity	score
426	genotype-28	genotype-21	0.0
427	genotype-20	genotype-21	-2.0
428	genotype-9	genotype-21	-2.0
429	genotype-4	genotype-21	1.01
430	genotype-10	genotype-21	1.01
431	genotype-14	genotype-21	2.01
432	genotype-25	genotype-21	2.01
433	genotype-6	genotype-21	2.01
434	genotype-19	genotype-21	2.01
435	genotype-21	genotype-11	-3.0
436	genotype-13	genotype-11	-3.0
437	genotype-2	genotype-11	-3.0
438	genotype-1	genotype-11	-3.0
439	genotype-26	genotype-11	-3.0
440	genotype-31	genotype-11	-3.0
441	genotype-18	genotype-11	-3.0
442	genotype-12	genotype-11	-2.0
443	genotype-7	genotype-11	-3.0
444	genotype-8	genotype-11	1.01
445	genotype-23	genotype-11	-3.0
446	genotype-17	genotype-11	0.0
447	genotype-27	genotype-11	-3.0
448	genotype-22	genotype-11	0.0
449	genotype-29	genotype-11	-3.0
450	genotype-15	genotype-11	-3.0
451	genotype-24	genotype-11	-3.0
452	genotype-30	genotype-11	-3.0
453	genotype-16	genotype-11	-2.0
454	genotype-3	genotype-11	-2.0
455	genotype-5	genotype-11	0.0
456	genotype-28	genotype-11	1.01
457	genotype-20	genotype-11	-2.0
458	genotype-9	genotype-11	-2.0
459	genotype-4	genotype-11	1.01
460	genotype-10	genotype-11	1.01
461	genotype-14	genotype-11	2.01
462	genotype-25	genotype-11	2.01
463	genotype-6	genotype-11	2.01
464	genotype-19	genotype-11	2.01
